0,123,215,308,544,625,721,965,1049,1108,1205
0,120,202,293,506,585,697,955,1035,1106,1182
0,102,143,246,449,517,609,865,948,977,1081
0,111,158,253,466,560,640,904,971,1046,1124
0,119,223,314,560,658,757,1030,1128,1201,1305
0,75,162,242,448,533,616,861,951,988,1101
0,95,171,249,471,546,640,827,911,955,1043
0,94,145,234,438,507,599,743,828,905,968
0,109,170,251,523,606,709,829,1028,1077,1145
0,108,199,280,560,653,732,994,1080,1117,1183
0,120,129,227,442,527,580,829,919,930,1012
0,112,126,256,462,548,638,806,917,943,1028
0,102,181,274,472,530,678,1051,1139,1154,1371
0,87,172,252,496,587,673,900,951,1038,1101
0,115,151,256,522,597,701,889,981,1004,1093
0,75,150,228,426,510,581,733,827,863,950
0,109,166,272,444,461,598,738,839,875,993
0,120,161,240,434,483,578,767,836,880,952
0,94,159,236,432,485,565,774,851,881,968
0,84,153,242,437,503,571,734,799,857,933
0,104,189,289,515,577,707,831,1041,1083,1158
0,85,113,206,427,496,597,889,942,993,1075
0,92,157,229,441,528,606,758,863,895,1004
0,97,127,255,506,600,667,890,964,991,1067
0,113,162,254,554,652,757,1023,1090,1134,1201
0,106,129,226,427,536,606,864,940,971,1061
0,123,132,240,438,539,607,798,864,920,981
0,108,165,243,444,519,594,767,840,875,958
0,100,163,246,486,590,681,913,996,1030,1120
0,103,140,282,598,695,798,1048,1132,1180,1263
